game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2015-04-22,125,4,1,29,28655,1559,7,104,104,15,34715,1524,117,117,8,-15,2
2015-05-16,221,6,1,29,28655,1574,2,25,25,22,21201,1712,89,89,6,-22,2
2015-05-31,134,6,1,29,36436,1778,5,72,72,9,28655,1596,104,89,6,-9,2
2015-07-29,133,4,1,34,35529,1540,2,23,115,18,28655,1587,101,114,8,-18,2
2015-10-04,121,6,1,37,30084,1259,2,29,29,-4,28655,1569,9,127,8,4,3
2015-10-05,126,1,1,37,30084,1255,4,54,79,-3,28655,1573,9,113,7,3,3
2015-10-10,141,1,1,37,28655,1576,1,6,117,12,28680,1487,9,96,6,-12,2
2015-10-25,141,15,1,37,28655,1588,7,112,102,17,35529,1624,100,110,7,-17,2
2015-10-26,222,14,1,37,28680,1456,2,33,18,22,28655,1605,79,63,4,-22,2
2015-10-30,124,15,1,37,28655,1583,4,55,99,7,29765,1370,73,93,6,-7,2
2015-11-06,127,18,1,32,36562,1313,4,58,83,-5,28655,1590,102,62,4,5,3
2015-11-06,123,4,1,32,28655,1595,7,104,104,22,35329,1746,117,117,8,-22,2
2015-11-09,122,18,1,32,28655,1617,1,8,69,22,28430,1763,87,5,1,-22,2
2015-11-09,122,15,1,32,28655,1639,3,49,118,12,36750,1542,108,108,7,-12,2
2015-11-11,224,8,1,37,28655,1651,8,115,23,13,35529,1584,73,55,4,-13,2
2015-11-13,146,8,1,32,28655,1664,5,68,69,10,36344,1520,37,43,3,-10,2
2015-11-17,112,4,3,41,30084,1322,4,55,55,-2,28655,1674,138,138,9,2,3
2015-11-18,116,4,1,32,28655,1676,2,25,25,18,35329,1732,138,138,9,-18,2
2015-11-21,123,4,1,32,30437,1660,7,104,104,2,28655,1694,25,25,2,0,1
2015-11-22,124,8,1,32,37002,1529,8,117,117,23,28655,1694,104,104,7,-23,2
