game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2018-03-20,127,8,1,96,53651,1500,2,25,74,13,44871,1421,117,117,8,-13,2
2018-03-23,122,8,1,96,44871,1391,2,25,25,21,53651,1513,141,141,9,-21,2
2018-04-04,215,8,1,96,44871,1477,3,47,56,17,53651,1492,78,78,5,-17,2
2018-04-08,114,8,1,105,53651,1475,3,49,80,21,43242,1608,117,117,8,-21,2
2018-04-08,142,33,1,105,34348,1960,4,55,81,1,53651,1496,104,132,9,-1,2
2018-04-09,131,6,1,105,53651,1495,6,89,81,9,36562,1328,108,49,3,-9,2
2018-04-15,221,14,1,105,53651,1504,6,89,145,18,11683,1542,138,138,9,-18,2
2018-04-19,147,8,1,96,53651,1522,9,138,79,13,44871,1443,75,52,4,-13,2
2018-05-18,233,8,1,96,53651,1535,5,78,78,21,30243,1650,75,52,4,-21,2
2018-05-19,235,27,1,105,53651,1556,6,89,89,6,31654,1710,105,49,3,-6,1
2018-06-07,236,8,3,109,44727,1532,4,52,71,17,53651,1562,111,111,7,-17,2
2018-06-18,124,6,1,105,20238,1629,8,117,117,13,53651,1545,75,17,1,-13,2
2018-06-18,214,14,1,105,20238,1642,3,47,73,12,53651,1532,81,87,6,-12,2
2018-06-18,217,8,1,105,53651,1520,9,133,81,21,20238,1654,134,17,1,-21,2
2018-06-20,134,22,3,109,53651,1541,7,111,111,16,49828,1544,69,69,5,-16,2
2018-07-05,143,8,3,109,53651,1557,7,111,111,24,43065,1745,138,138,9,-24,2
2018-07-11,144,8,3,111,53651,1581,7,108,108,17,44871,1597,78,78,5,-17,2
2018-08-10,131,8,3,109,53651,1598,7,111,104,13,49828,1513,141,69,5,-13,2
2018-09-04,134,13,3,109,53651,1611,7,111,105,15,16796,1589,154,149,10,-15,2
2018-09-05,125,4,3,109,53651,1626,7,111,87,14,16796,1574,149,149,10,-14,2
2018-10-11,133,8,3,111,53651,1640,3,49,87,15,44871,1606,25,25,2,-15,2
2018-10-28,142,8,3,111,53651,1655,7,105,105,13,48678,1587,80,80,5,-13,2
2018-11-05,136,8,1,111,48865,1856,4,54,78,8,53651,1668,25,25,2,-8,2
2019-01-10,133,18,3,124,53651,1660,7,105,105,11,46899,1534,102,102,7,-11,2
2019-01-12,122,8,3,124,44871,1584,9,134,134,-13,53651,1671,154,154,10,13,3
2019-01-12,113,8,3,124,53651,1684,10,154,154,11,44871,1571,145,134,9,-11,2
2019-02-21,145,36,2,130,15309,1743,4,53,53,14,53651,1695,111,55,4,-14,2
2019-03-07,134,18,3,130,53651,1681,4,53,146,19,15309,1745,90,55,4,-19,2
2019-03-14,133,8,3,130,53651,1700,4,58,58,16,15309,1709,65,55,4,-16,2
2019-03-28,126,36,3,130,55968,1587,4,55,52,21,53651,1716,104,53,4,-21,2
2019-03-29,127,8,3,130,55968,1608,4,55,87,19,53651,1695,58,58,4,-19,2
2019-06-12,127,18,3,142,53651,1676,3,41,41,2,37720,1325,45,45,3,-2,2
2019-07-23,127,18,3,142,53651,1678,5,75,75,12,44871,1587,81,81,5,-12,2
2019-07-25,124,18,3,142,53651,1690,10,147,147,11,44871,1563,128,149,10,-11,2
2019-08-12,135,18,3,142,28430,1835,4,54,52,11,53651,1701,58,58,4,-11,2
2019-08-12,123,18,3,142,28430,1846,6,96,18,10,53651,1690,86,86,6,-10,2
2019-09-08,131,18,3,142,53651,1680,10,148,148,10,56736,1527,13,147,10,-10,2
2019-10-16,125,18,3,142,35329,1976,2,33,134,5,53651,1690,146,18,2,-5,2
