game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2015-10-04,117,3,1,37,36562,1336,2,29,104,-9,36344,1500,18,16,1,9,3
2015-10-05,144,3,1,37,36344,1509,2,33,105,9,36562,1327,69,28,2,-9,2
2015-10-11,131,4,1,37,36344,1518,2,20,136,13,35093,1437,100,49,3,-13,2
2015-10-15,133,15,1,37,34122,1401,1,8,8,21,36344,1531,71,116,8,-21,2
2015-10-25,216,6,1,37,35093,1424,9,141,104,19,36344,1510,117,122,8,-19,2
2015-11-06,134,3,1,37,36344,1491,7,102,102,13,34122,1422,138,35,3,-13,2
2015-11-11,144,8,1,32,36344,1504,3,41,72,16,28680,1511,89,103,7,-16,2
2015-11-13,146,8,1,32,28655,1664,5,68,69,10,36344,1520,37,43,3,-10,2
2015-11-25,124,4,1,32,36344,1510,6,89,89,20,35555,1605,105,122,8,-20,2
2015-11-27,122,15,1,32,22486,1398,2,23,87,-11,36344,1530,89,89,6,11,3
2015-11-30,147,6,1,37,36344,1515,3,48,83,16,37064,1517,84,123,8,-16,2
2015-11-28,125,6,1,32,37005,1291,3,38,38,26,36344,1541,117,117,8,-26,2
2015-12-03,146,8,1,32,37002,1562,2,28,28,15,36344,1531,83,83,6,-15,2
2015-12-05,144,4,1,32,36562,1361,1,17,9,-10,36344,1516,100,50,4,10,3
2015-12-08,131,4,1,42,36344,1526,4,60,52,11,36562,1399,1,12,1,-11,2
2015-12-09,141,4,1,42,36344,1537,7,104,104,13,36906,1457,73,73,5,-13,2
2015-12-13,127,1,1,37,36344,1550,2,29,52,14,37064,1501,87,63,4,-14,2
2015-12-15,125,6,1,42,36344,1564,8,117,117,12,20719,1476,105,105,7,-12,2
2015-12-15,137,6,1,42,36562,1385,8,117,117,-8,36344,1576,25,25,2,8,3
2015-12-18,142,6,1,42,36344,1584,1,17,9,14,37616,1538,87,117,8,-14,2
2015-12-20,214,6,1,40,36344,1598,2,23,104,16,18552,1593,117,20,2,-16,2
2015-12-20,123,4,1,42,36344,1614,2,25,25,10,20719,1464,89,89,6,-10,2
2015-12-21,123,6,1,42,36562,1389,8,117,69,10,36344,1624,38,38,3,-8,1
