game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2015-04-26,114,4,1,21,36750,1500,8,117,117,17,36757,1537,135,135,9,-17,2
2015-04-28,126,6,1,21,36757,1531,9,137,132,15,36750,1517,84,17,1,-15,2
2015-05-03,114,6,1,21,36750,1502,9,145,25,-14,36757,1541,87,87,6,14,3
2015-05-03,117,6,1,21,36750,1488,3,49,104,19,36757,1555,105,105,7,-19,2
2015-06-13,121,15,1,31,36562,1280,5,75,75,25,36750,1495,17,17,1,-25,2
2015-06-12,142,14,1,32,36750,1507,2,25,25,-12,35329,1614,87,87,6,12,3
2015-06-14,115,15,1,32,36750,1470,1,17,69,15,37002,1449,23,23,2,-15,2
2015-06-20,216,14,1,32,36757,1575,9,133,99,12,36750,1485,104,17,1,-12,2
2015-06-28,232,6,1,32,36750,1473,3,49,132,20,36285,1573,25,25,2,-20,2
2015-07-07,131,15,1,31,36750,1493,9,141,139,20,34941,1604,99,99,7,-20,2
2015-07-16,134,6,1,32,36750,1513,7,108,108,21,35329,1650,49,49,3,-21,2
2015-07-16,121,4,1,32,36750,1534,8,117,117,20,35329,1629,89,89,6,-20,2
2015-07-17,124,4,1,31,36906,1452,2,23,117,20,36750,1554,87,87,6,-20,2
2015-07-25,131,6,1,32,36757,1573,8,117,117,-18,36750,1534,72,72,5,18,3
2015-07-25,126,4,1,32,36750,1552,1,17,105,7,36562,1321,117,117,8,-7,2
2015-08-02,123,4,1,32,36914,1524,7,103,99,-15,36750,1559,81,81,5,15,3
2015-08-14,125,4,1,34,36750,1560,4,57,57,-5,14751,1832,99,43,3,5,3
2015-09-01,127,4,1,32,36750,1555,6,89,89,-1,28676,1950,104,104,7,1,3
2015-08-12,121,1,1,32,36750,1574,7,104,104,-14,35329,1630,70,137,9,14,3
2015-09-08,132,4,1,36,36318,1473,2,23,23,-13,36750,1554,37,17,1,13,3
2015-09-09,122,31,1,36,36750,1567,3,45,99,-11,36939,1682,95,28,2,11,3
2015-09-17,135,22,1,36,36883,1397,6,89,89,-10,36750,1556,136,17,1,10,3
2015-09-27,123,2,1,36,36985,1440,7,105,105,-11,36750,1566,87,17,1,11,3
2015-10-07,122,6,1,36,14751,1832,3,47,73,6,36750,1577,108,108,7,-6,2
2015-10-12,121,1,1,36,36750,1571,2,25,25,-19,37064,1503,89,89,6,19,3
2015-10-14,134,1,1,37,36914,1527,6,93,84,17,36750,1552,118,35,3,-17,2
2015-10-19,124,4,1,32,35329,1730,6,89,89,8,36750,1535,120,17,1,-8,2
2015-10-19,224,14,1,32,35329,1744,2,25,25,7,36750,1527,87,87,6,-7,2
2015-11-06,123,22,1,36,36750,1520,5,72,73,9,36883,1354,104,104,7,-9,2
2015-11-08,135,1,1,36,36750,1529,1,17,17,13,20877,1445,104,104,7,-13,2
2015-11-09,122,15,1,32,28655,1639,3,49,118,12,36750,1542,108,108,7,-12,2
2015-11-17,125,22,1,36,15190,1469,7,99,99,-14,36750,1530,25,25,2,14,3
2015-11-20,126,4,1,36,36914,1465,7,104,104,19,36750,1544,117,117,8,-19,2
2015-11-30,125,4,1,32,28655,1732,2,25,25,8,36750,1525,73,73,5,-8,2
2015-12-03,125,4,1,32,36750,1517,5,73,73,24,35329,1716,89,89,6,-24,2
2015-12-12,214,6,1,37,15190,1441,7,112,102,20,36750,1541,114,80,5,-20,2
2015-12-15,222,1,1,37,36750,1521,7,113,99,15,31210,1508,77,38,3,-15,2
2015-12-17,124,6,1,37,36750,1536,5,80,69,12,36914,1446,138,137,9,-12,2
2015-12-20,227,14,1,37,36750,1548,7,108,108,16,36776,1542,56,56,4,-16,2
2015-12-21,141,14,1,37,15190,1457,7,105,105,-12,36750,1564,118,2,1,12,3
2016-01-06,217,6,1,37,36776,1511,3,34,89,19,36750,1576,99,21,2,-19,2
