game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2018-12-18,145,8,1,123,55968,1500,5,78,78,15,40205,1466,89,89,6,-15,2
2018-12-28,141,10,1,123,35329,1976,7,108,108,1,55968,1515,78,78,5,-1,2
2019-01-19,125,8,1,123,55968,1514,5,72,72,22,40039,1667,78,78,5,-22,2
2019-01-20,216,43,1,123,55968,1536,5,72,73,6,36562,1288,78,78,5,-6,2
2019-02-04,223,8,1,123,55968,1542,5,78,78,11,42846,1415,134,25,2,-11,2
2019-02-28,124,13,3,130,55968,1553,4,55,13,22,42820,1693,87,58,4,-22,2
2019-03-07,141,8,3,130,55968,1553,4,58,58,22,42820,1693,55,55,4,-22,2
2019-03-17,145,15,1,123,55968,1575,5,78,78,12,51107,1472,70,23,2,-12,2
2019-03-28,126,36,3,130,55968,1587,4,55,52,21,53651,1716,104,53,4,-21,2
2019-03-29,127,8,3,130,55968,1608,4,55,87,19,53651,1695,58,58,4,-19,2
2019-03-29,123,4,1,123,55968,1627,5,73,73,18,38475,1673,141,138,9,-18,2
2019-03-31,126,4,3,130,55968,1645,4,55,141,20,35529,1755,142,53,4,-20,2
2019-04-03,212,15,1,123,44817,1669,5,72,77,16,55968,1665,78,78,5,-16,2
2019-04-10,136,8,3,130,55968,1649,4,58,58,20,35529,1749,56,55,4,-20,2
2019-05-16,121,13,3,137,55968,1669,8,116,141,16,42820,1681,154,154,10,-16,2
2019-05-21,133,14,3,137,55968,1685,5,80,80,15,42820,1665,154,154,10,-15,2
2019-05-30,121,4,3,130,55968,1700,4,55,18,17,45582,1735,58,58,4,-17,2
2019-05-30,131,8,3,130,55968,1717,4,55,55,16,45582,1718,58,58,4,-16,2
2019-06-02,125,13,3,137,55968,1733,4,55,104,24,12406,1923,57,2,1,-24,2
2019-06-02,134,8,3,137,55968,1757,3,49,87,22,12406,1899,108,108,7,-22,2
2019-06-03,134,8,3,144,35769,2138,7,108,108,2,55968,1779,154,154,10,-2,2
2019-06-12,131,8,3,144,55968,1777,6,87,87,30,35769,2116,154,154,10,-30,2
2019-06-19,134,8,3,144,35769,2086,5,80,80,5,55968,1807,87,87,6,-5,2
2019-06-21,133,8,3,144,55968,1802,7,108,108,28,35769,2093,142,2,1,-28,2
2019-06-28,123,4,3,130,55968,1830,4,55,28,19,28430,1906,53,53,4,-19,2
2019-06-28,123,8,3,130,55968,1849,4,58,58,18,28430,1887,128,55,4,-18,2
2019-07-04,126,8,3,144,55968,1867,4,55,80,12,33873,1772,62,115,8,-12,2
2019-07-07,127,8,3,144,55968,1879,7,108,141,23,35769,2066,156,25,2,-23,2
2019-07-25,126,13,3,137,55968,1902,10,154,154,19,16741,1984,80,80,5,-19,2
2019-07-26,125,8,3,137,16741,1965,5,80,80,14,55968,1921,87,87,6,-14,2
2019-07-26,132,8,3,137,55968,1907,6,87,87,19,16741,1979,108,108,7,-19,2
2019-08-06,131,13,3,137,55968,1926,3,49,109,14,36865,1864,80,80,5,-14,2
2019-08-09,127,8,3,137,55968,1940,10,154,154,12,36865,1850,152,55,4,-12,2
2019-09-03,135,8,3,137,55968,1952,2,25,25,-11,35769,2074,87,87,6,11,3
2019-09-03,141,8,3,137,55968,1941,10,154,154,22,35769,2085,87,49,3,-22,2
2019-09-03,124,8,3,137,55968,1963,7,108,108,20,35769,2063,111,55,4,-20,2
2019-11-16,135,8,3,137,16741,2012,7,108,108,15,55968,1983,139,2,1,-15,2
2019-11-16,132,13,3,137,16741,2027,6,87,87,14,55968,1968,25,25,2,-14,2
2019-11-18,117,4,3,153,55968,1954,5,73,73,1,37509,1469,104,115,8,-1,2
2019-11-21,131,8,3,153,55968,1955,5,80,80,1,56737,1498,71,71,5,-1,2
2019-11-24,131,8,3,153,56737,,5,71,71,,55968,,80,80,5,,3
