game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2017-08-28,122,1,1,82,52903,1500,8,118,118,15,38314,1477,55,55,4,-15,2
2017-08-31,125,8,1,82,52903,1515,9,136,118,14,38314,1468,114,114,8,-14,2
2017-09-01,114,8,1,82,43242,1661,7,104,108,11,52903,1529,134,137,9,-11,2
2017-09-11,137,15,3,82,52903,1518,1,2,105,-18,44871,1464,134,134,9,18,3
2017-09-11,126,4,3,82,52903,1500,8,115,115,15,44871,1482,87,47,3,-15,2
2017-09-13,131,18,3,82,52903,1515,7,108,108,14,44871,1467,100,100,7,-14,2
2018-03-25,111,36,3,102,52903,1529,1,1,1,14,53439,1469,2,2,1,-14,2
2018-04-06,132,36,3,102,54896,1500,7,104,104,-14,52903,1543,105,105,7,14,3
2018-04-07,114,36,3,102,52903,1557,6,89,84,13,54896,1486,111,82,6,-13,2
2018-04-07,133,15,3,96,52903,1570,4,55,104,13,44871,1494,154,154,10,-13,2
2018-04-08,123,4,3,96,52903,1583,7,105,105,12,44871,1481,117,89,6,-12,2
2018-04-11,123,4,3,96,52903,1595,10,153,87,11,44871,1469,118,2,1,-11,2
2018-04-11,115,4,3,96,52903,1606,3,47,141,10,44871,1458,2,2,1,-10,2
2018-05-20,143,8,3,109,36865,1729,4,54,89,11,52903,1616,145,141,9,-11,2
2018-05-23,127,36,3,102,34226,1594,4,50,145,16,52903,1605,153,55,4,-16,2
2018-06-22,122,36,3,102,52903,1589,1,2,145,23,28430,1755,104,17,1,-23,2
2018-06-22,123,36,3,102,52903,1612,1,2,146,21,28430,1732,45,17,1,-21,2
2018-06-23,134,15,3,111,44871,1561,7,108,108,19,52903,1633,134,55,4,-19,2
2018-06-28,121,4,3,111,44871,1585,7,105,105,17,52903,1614,2,2,1,-17,2
2018-06-28,125,4,3,111,52903,1597,4,55,55,16,44871,1602,138,145,9,-16,2
2018-07-03,122,4,3,111,44871,1586,7,105,105,17,52903,1613,145,55,4,-17,2
2018-07-03,125,4,3,111,52903,1596,1,2,145,16,44871,1603,154,47,3,-16,2
2018-07-17,117,8,3,109,36865,1833,4,54,54,7,52903,1612,141,141,9,-7,2
2018-07-31,124,36,3,102,52903,1605,8,117,117,18,17304,1647,115,115,8,-18,2
2018-08-03,123,36,3,102,52903,1623,9,141,141,16,17304,1623,111,145,9,-16,2
2018-08-09,124,4,3,109,52903,1639,9,141,141,20,21160,1735,87,153,10,-20,2
2018-08-29,211,8,3,109,52903,1659,9,141,141,18,21160,1715,153,153,10,-18,2
2018-09-06,141,36,3,102,21160,1714,1,17,23,15,52903,1677,152,2,1,-15,2
2018-09-06,123,36,3,102,21160,1729,5,71,117,13,52903,1662,80,78,5,-13,2
2018-09-07,133,8,3,116,52903,1649,6,87,87,14,14714,1594,47,47,3,-14,2
2018-09-11,124,8,3,111,52903,1663,10,154,154,10,37719,1520,117,49,3,-10,2
2018-09-21,125,4,3,109,52903,1673,9,141,141,14,33876,1631,89,89,6,-14,2
2018-10-17,125,22,3,109,52903,1687,9,138,138,11,34226,1572,45,45,3,-11,2
2018-10-20,135,8,3,109,52903,1698,9,141,25,13,33876,1617,89,89,6,-13,2
2018-10-28,112,13,3,109,52903,1711,9,141,141,12,33876,1604,89,89,6,-12,2
2018-10-30,121,4,3,116,52903,1723,6,89,89,23,36750,1894,145,145,9,-23,2
2018-11-13,117,4,1,116,36750,1882,9,145,145,-21,52903,1746,93,89,6,21,3
2018-11-21,124,4,3,116,52903,1767,6,89,89,20,30036,1870,138,138,9,-20,2
2018-12-09,143,13,3,116,52903,1787,6,87,87,17,30036,1814,28,138,9,-17,2
2018-12-09,135,15,3,116,30036,1797,9,138,138,16,52903,1804,89,89,6,-16,2
2018-12-15,134,8,3,116,36865,1972,9,145,145,9,52903,1788,87,87,6,-9,2
2018-12-21,134,8,3,116,52903,1779,6,87,87,22,36865,1919,145,145,9,-22,2
2018-12-22,134,8,3,116,36865,1897,9,145,13,12,52903,1801,87,87,6,-12,2
2019-01-04,131,15,3,116,52903,1789,6,87,87,23,12406,1958,80,80,5,-23,2
2019-01-28,142,8,3,116,36865,1864,9,145,138,14,52903,1812,87,87,6,-14,2
2019-03-14,135,8,3,130,52903,1798,4,58,58,5,56268,1511,139,55,4,-5,2
2019-03-15,123,4,3,130,52903,1803,4,55,55,4,56268,1506,156,53,4,-4,2
2019-04-02,136,8,1,130,45582,1681,4,55,13,21,52903,1807,58,58,4,-21,2
2019-04-09,135,4,1,130,45582,1702,4,53,141,19,52903,1786,111,55,4,-19,2
2019-05-22,133,8,3,137,52903,1767,10,154,154,15,45582,1750,115,115,8,-15,2
2019-06-10,137,8,3,137,52903,1782,10,154,154,8,44871,1578,87,25,2,-8,2
2019-07-07,133,13,3,137,16741,1975,7,108,108,9,52903,1790,107,55,4,-9,2
2019-08-05,126,18,3,142,52903,1781,8,122,35,10,35304,1625,128,128,8,-10,2
2019-08-24,134,18,3,142,52903,1791,1,4,140,26,35329,2030,58,8,1,-26,2
2019-09-03,133,18,1,142,35329,2004,2,23,95,9,52903,1817,26,20,2,-9,2
2019-09-12,126,18,3,142,35329,2013,2,33,139,8,52903,1808,17,26,2,-8,2
